,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
55,2.844838523864746,0.19691517332352027,0.20338518619537355,0.09012669185364275,42,103,14,2,82,"{'random_state': 42, 'n_estimators': 103, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_depth': 82}",-0.1434759143032153,-0.13284509474037473,-0.14523314275191487,-0.17541802879325874,-0.17535180457876062,-0.11787135048397301,-0.14744271281105034,-0.12992265880550372,-0.15127984618369997,-0.14334501171256372,-0.1462185565164315,0.017300840366584025,38
51,3.4636090993881226,0.43755454600143767,0.2120459794998169,0.10468518318668288,42,107,4,3,98,"{'random_state': 42, 'n_estimators': 107, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_depth': 98}",-0.14429001872868308,-0.13282679473357817,-0.14797857142616924,-0.17693462358233372,-0.17183574711920527,-0.1170315296992053,-0.14574357709015057,-0.1314922137977911,-0.15275635767897466,-0.14139114827200047,-0.14622805821280918,0.017090618905804853,39
41,3.083042049407959,0.3214704231650718,0.18310234546661378,0.08369134711101259,42,101,15,1,82,"{'random_state': 42, 'n_estimators': 101, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 82}",-0.1436700178655069,-0.13443233756503403,-0.1440266202749819,-0.1764455778216849,-0.1766315730637765,-0.11583154255546396,-0.1478512596502685,-0.12940888156408795,-0.15042339271855695,-0.14371199516519942,-0.1462433198244561,0.017948252999888645,40
68,3.4302610397338866,0.3349729375729897,0.19015681743621826,0.05502747867888015,42,105,5,3,136,"{'random_state': 42, 'n_estimators': 105, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 136}",-0.14418666368035765,-0.13305784478402752,-0.14805347886361525,-0.17691030817706285,-0.17207276111241013,-0.11658051894752522,-0.14601771677225944,-0.13155242681042215,-0.15248595507364407,-0.14180085032550685,-0.1462718524546831,0.017156457540225722,41
29,3.5032885551452635,0.3998716366400852,0.23751306533813477,0.07186577418684545,42,104,6,3,98,"{'random_state': 42, 'n_estimators': 104, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 98}",-0.144054511955201,-0.13282346792701874,-0.14807684381456174,-0.17702957433567829,-0.17200836451235393,-0.11684454822466475,-0.1460182973389131,-0.1316665483111412,-0.15270923562559105,-0.14171441588820372,-0.14629458079333274,0.017143481400369164,42
10,2.887433409690857,0.25309998478455004,0.20190086364746093,0.08203135614223853,42,100,15,1,127,"{'random_state': 42, 'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 127}",-0.14386103993600194,-0.13437456110514132,-0.14407527076750742,-0.1764815873930892,-0.17665953207407087,-0.11608272769333997,-0.1478804203461992,-0.12932027192672085,-0.15064611697664537,-0.14357869559502323,-0.14629602238137393,0.01793301412563619,43
97,2.2188723564147947,0.12578848872782794,0.17632598876953126,0.04676046483322225,42,71,5,3,129,"{'random_state': 42, 'n_estimators': 71, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_depth': 129}",-0.1451622607088163,-0.13391799717238181,-0.1478498298132635,-0.17576490176861512,-0.17250596447003624,-0.11852993886878099,-0.14363568472876012,-0.13109926804834002,-0.153745216734837,-0.1411573820677313,-0.14633684443815623,0.01674259462111248,44
89,2.562731456756592,0.23680563152928563,0.23961296081542968,0.10776673114934734,42,88,14,2,109,"{'random_state': 42, 'n_estimators': 88, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_depth': 109}",-0.14429251082795222,-0.13346376327641887,-0.14523228235135935,-0.1754360091401717,-0.17554424948209052,-0.11878820561447034,-0.1467909697179155,-0.12895196195863717,-0.15180172173965362,-0.14319025561852017,-0.14634919297271898,0.017239726568472766,45
94,3.1613890171051025,0.32999554862621217,0.20982584953308106,0.05261388464228232,42,101,6,3,143,"{'random_state': 42, 'n_estimators': 101, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 143}",-0.14436081132757034,-0.13315477652886978,-0.14766847723033497,-0.17715529120994672,-0.17191898543587858,-0.11702716501916129,-0.14551390734449035,-0.13172002849768,-0.15305005219959614,-0.1421325154759842,-0.14637020102695125,0.01708738049485002,46
8,3.0408725500106812,0.18513677637400755,0.16550214290618898,0.08139786938802299,42,93,2,3,66,"{'random_state': 42, 'n_estimators': 93, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 66}",-0.1453126752338126,-0.1337935699634588,-0.1472508106368673,-0.1771652622216773,-0.17189318354349045,-0.11813848240891199,-0.14542767758680492,-0.13108906731912245,-0.153213547071642,-0.1416194673460701,-0.1464903743331858,0.016913047291486422,47
59,2.6231812715530394,0.19251525191885574,0.24116716384887696,0.10393451232721572,42,98,16,1,44,"{'random_state': 42, 'n_estimators': 98, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_depth': 44}",-0.14237688858808248,-0.13394897298419786,-0.14397398930409291,-0.17700494120473095,-0.17718157695265874,-0.11693904395015196,-0.14893789665752544,-0.12967185423634486,-0.1533768765571892,-0.1434029029203122,-0.14668149433552863,0.018089648009871593,48
61,2.2019758224487305,0.17362926732677,0.18756282329559326,0.04884498285652003,42,83,16,1,44,"{'random_state': 42, 'n_estimators': 83, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_depth': 44}",-0.1430331656755988,-0.13510297328310722,-0.14555110248116163,-0.1767186809403011,-0.17669128994625716,-0.11716896128334815,-0.14756527332788616,-0.12938274867132488,-0.15348930126559654,-0.14371816130705425,-0.14684216581816356,0.017825143331384092,49
83,2.346964454650879,0.19912994667508827,0.19977502822875975,0.08553497227005132,42,89,15,2,125,"{'random_state': 42, 'n_estimators': 89, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_depth': 125}",-0.14433646753868118,-0.1336899510333396,-0.14618812284426347,-0.17598407876161065,-0.1769324252845349,-0.11860503129918705,-0.14782671666193728,-0.12945369968045414,-0.1518577012478791,-0.1437675127175533,-0.14686417070694407,0.01752035947289949,50
90,2.520925521850586,0.17641033304640222,0.2245044708251953,0.0552767835781209,42,85,16,1,111,"{'random_state': 42, 'n_estimators': 85, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_depth': 111}",-0.1430988846032073,-0.13519336907181265,-0.14533946988866736,-0.1770000184292062,-0.17699228291761204,-0.11708635425488878,-0.14770470451880865,-0.12906918215983768,-0.15316685842216088,-0.14406240332702736,-0.1468713527593229,0.017945032433388308,51
58,2.2159432411193847,0.16682756223119077,0.2148123264312744,0.09418822044129496,42,85,16,1,57,"{'random_state': 42, 'n_estimators': 85, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_depth': 57}",-0.1430988846032073,-0.13519336907181265,-0.14533946988866753,-0.1770000184292062,-0.17699228291761196,-0.11708635425488874,-0.14770470451880896,-0.12906918215983773,-0.1531668584221608,-0.14406240332702755,-0.14687135275932292,0.017945032433388287,52
73,2.9898465633392335,0.3579421893760946,0.2947080135345459,0.05805866925106281,42,99,15,2,62,"{'random_state': 42, 'n_estimators': 99, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_depth': 62}",-0.14419166276854178,-0.1332319959898371,-0.14586209907837447,-0.1765635154035549,-0.17688483800305918,-0.11824117716894317,-0.14830087315695895,-0.12986362806330612,-0.15209158345991436,-0.1439952474418591,-0.1469226620534349,0.017672449885793057,53
23,2.776003909111023,0.2728985440833439,0.21457860469818116,0.08306947029618955,42,105,16,2,89,"{'random_state': 42, 'n_estimators': 105, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_depth': 89}",-0.14374510144795166,-0.13410799218273287,-0.1463597147133429,-0.17511898200766435,-0.17699207140768908,-0.11833287422489598,-0.14846392620354024,-0.13069313929006432,-0.15182725608915207,-0.14386630146288817,-0.14695073590299218,0.017292682777902586,54
70,2.1878618478775023,0.2874025385010952,0.24273056983947755,0.09848866341123633,42,74,11,3,91,"{'random_state': 42, 'n_estimators': 74, 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_depth': 91}",-0.14515671066014912,-0.13483840601094377,-0.14754282004707728,-0.17747434665155357,-0.17427237929861505,-0.12030915988230047,-0.1448974738411509,-0.13099808612592093,-0.1531825950872574,-0.14316630561597332,-0.14718382832209417,0.01688055624139469,55
65,2.275208926200867,0.20835898575384657,0.1594261646270752,0.08594671942471674,42,86,16,2,51,"{'random_state': 42, 'n_estimators': 86, 'min_samples_split': 16, 'min_samples_leaf': 2, 'max_depth': 51}",-0.14492753486755242,-0.13503592345604273,-0.14672536227343724,-0.17544575888094624,-0.17711633596804047,-0.11943714968085291,-0.14721401962603906,-0.12996267694045724,-0.15218308416343762,-0.14422407777736362,-0.14722719236341697,0.01716899937879686,56
